TH-232-2, TH-229-9, Pa-229 (117 keV), T6                             
  1  1  .05   .     .   2    5 .5 6.0                                            
   1.40D
    2  8  7.6  7.36E2    10
    3  7 44.5  1.47E3    30
    4 13 41.2  7.95E2    30
    6  4 33.0  2.30E3   120
  000 00 00.0 
